open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-01-01 14:00:00,47023.24000000,47066.89000000,46950.00000000,46969.74000000,103.67317000,2022-01-01 14:14:59.999,4873457.64063850,5650,39.96746000,1878757.63254300
2022-01-01 14:15:00,46969.73000000,47100.00000000,46967.54000000,47024.10000000,113.55795000,2022-01-01 14:29:59.999,5341804.17253120,5418,46.30329000,2178019.87980550
2022-01-01 14:30:00,47024.11000000,47031.90000000,46850.18000000,46904.67000000,124.59323000,2022-01-01 14:44:59.999,5846221.84987400,6631,64.19106000,3012006.19748940
2022-01-01 14:45:00,46904.67000000,46965.50000000,46877.04000000,46926.22000000,161.83785000,2022-01-01 14:59:59.999,7595366.84535340,5321,50.82692000,2385199.95832290
2022-01-01 15:00:00,46920.01000000,47009.74000000,46871.69000000,46953.79000000,121.57924000,2022-01-01 15:14:59.999,5708653.52304330,6895,64.03025000,3006836.49114100
2022-01-01 15:15:00,46953.79000000,47030.00000000,46920.80000000,47026.82000000,82.47188000,2022-01-01 15:29:59.999,3875025.22591070,5128,40.66316000,1910598.05647020
2022-01-01 15:30:00,47026.83000000,47491.14000000,46996.75000000,47342.13000000,861.85823000,2022-01-01 15:44:59.999,40762122.35624950,15212,489.25080000,23131918.10557340
2022-01-01 15:45:00,47342.12000000,47408.04000000,47117.09000000,47219.04000000,450.04370000,2022-01-01 15:59:59.999,21259442.60938960,10176,233.69304000,11039419.28233400
2022-01-01 16:00:00,47219.04000000,47461.29000000,47186.07000000,47428.34000000,320.37946000,2022-01-01 16:14:59.999,15165422.90040340,9876,164.95586000,7807731.62347810
2022-01-01 16:15:00,47428.34000000,47527.24000000,47342.42000000,47480.45000000,296.91076000,2022-01-01 16:29:59.999,14077645.53121420,9498,145.40116000,6894728.17827430
2022-01-01 16:30:00,47480.46000000,47497.19000000,47375.65000000,47421.77000000,219.15048000,2022-01-01 16:44:59.999,10394587.20188190,8522,94.09941000,4462696.64037720
2022-01-01 16:45:00,47421.78000000,47476.99000000,47253.40000000,47268.62000000,213.13849000,2022-01-01 16:59:59.999,10089490.60760450,8220,94.85877000,4490707.39760150
2022-01-01 17:00:00,47268.61000000,47369.00000000,47238.81000000,47246.04000000,149.26952000,2022-01-01 17:14:59.999,7061692.89187380,8191,73.27002000,3466584.38318510
2022-01-01 17:15:00,47246.04000000,47350.00000000,47241.28000000,47330.45000000,108.91746000,2022-01-01 17:29:59.999,5150338.72078160,7171,55.76222000,2636959.49192090
2022-01-01 17:30:00,47330.45000000,47900.00000000,47325.71000000,47846.04000000,697.35462000,2022-01-01 17:44:59.999,33247453.58885490,21486,385.31015000,18368735.70707890
2022-01-01 17:45:00,47846.03000000,47954.63000000,47672.01000000,47754.48000000,365.12417000,2022-01-01 17:59:59.999,17457895.45047520,13159,151.14684000,7226647.26027030
2022-01-01 18:00:00,47754.47000000,47844.97000000,47660.85000000,47742.16000000,226.83378000,2022-01-01 18:14:59.999,10831060.38536500,9602,110.56500000,5279255.49929670
2022-01-01 18:15:00,47742.16000000,47780.74000000,47601.01000000,47637.43000000,175.79179000,2022-01-01 18:29:59.999,8381571.06829000,7455,92.69994000,4419160.50007090
2022-01-01 18:30:00,47637.43000000,47658.64000000,47420.00000000,47468.81000000,290.65106000,2022-01-01 18:44:59.999,13812880.86655030,9395,138.26611000,6570832.10335190
2022-01-01 18:45:00,47468.81000000,47628.39000000,47430.00000000,47560.55000000,167.48362000,2022-01-01 18:59:59.999,7961278.26499630,7019,98.27464000,4671256.56470700
2022-01-01 19:00:00,47560.54000000,47611.84000000,47489.76000000,47508.60000000,160.74950000,2022-01-01 19:14:59.999,7644149.58133050,8273,73.55131000,3498008.91652400
