,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,price_change_1h,volume_change_1h,price_change_2h,volume_change_2h,price_change_5h,volume_change_5h,price_change_10h,volume_change_10h,sma_1,ema_1,sma_2,ema_2,sma_5,ema_5,sma_10,ema_10,bb_upper,bb_middle,bb_lower,rsi,volatility
20,2023-01-01 20:00:00,1201.77,1204.67,1201.39,1201.4,4423.7644,2023-01-01 20:59:59.999,5320571.123451,9276,2152.6807,2589032.123537,0,-0.00031619764016699303,-0.3348353362887925,0.00039969356826441427,-0.16044192485164088,0.003835195227312793,0.5962123875131728,0.003558481046494144,1.2046279818570982,1201.4,1201.4,1201.5900000000001,1201.3762403892176,1200.4240000000002,1200.3561819185966,1198.2199999999998,1198.9066423383754,1201.7378583223644,1196.6444999999999,1191.5511416776353,70.36640019098947,0.0011583782640551502
21,2023-01-01 21:00:00,1201.4,1203.08,1200.65,1202.85,3422.5871,2023-01-01 21:59:59.999,4113623.565895,8856,2137.2872,2568847.664886,0,0.001206925253870228,-0.2263179521947416,0.0008903459867861674,-0.4853740408522169,0.004601867472898258,-0.6051323868865754,0.005441596870454868,0.19920185818475344,1202.85,1202.85,1202.125,1202.3587467964057,1201.526,1201.1874546123977,1198.871,1199.6236164586708,1202.739212667719,1196.986,1191.2327873322813,73.71963416184091,0.0011374313587842269
22,2023-01-01 22:00:00,1202.85,1203.08,1200.45,1201.03,3264.0509,2023-01-01 22:59:59.999,3924030.66585,8106,1582.5466,1902501.359552,0,-0.0015130731180112988,-0.04632057428136749,-0.0003079740302980305,-0.2621553489602656,0.00029150148249312835,-0.6870229943803668,0.0032242705714309317,-0.261315785632386,1201.03,1201.03,1201.94,1201.4729155988018,1201.596,1201.1349697415985,1199.257,1199.8793225570942,1203.229898426808,1197.2675000000002,1191.3051015731924,63.93965746201242,0.0011947288032976378
23,2023-01-01 23:00:00,1201.04,1202.49,1199.36,1200.34,10448.589,2023-01-01 23:59:59.999,12545986.167924,11040,5415.8095,6501820.047788,0,-0.0005745068815933285,2.201110926303263,-0.0020867107286860476,2.0528336298585357,-0.0004829630616528524,0.9829711701772179,0.004250121312517674,1.1747736316901274,1200.34,1200.34,1200.685,1200.717638532934,1201.48,1200.8699798277323,1199.765,1199.963082092168,1203.495028646865,1197.5825,1191.669971353135,60.654328703135846,0.0011669707605338666
24,2023-01-02 00:00:00,1200.33,1201.04,1197.5,1198.16,6261.1079,2023-01-02 00:59:59.999,7507532.816424,11561,2198.6757,2635937.208236,0,-0.0018161520902409967,-0.4007700082757586,-0.0023896155799604246,0.9182016738770831,-0.0030121985721179856,-0.058569273995901616,0.003064043532859051,0.7908023903496377,1198.16,1198.16,1199.25,1199.0125461776447,1200.7559999999999,1199.9666532184883,1200.131,1199.635248984501,1203.3583316078748,1197.8445,1192.330668392125,51.62844628101908,0.0012294185405252503
25,2023-01-02 01:00:00,1198.16,1198.31,1193.0,1195.16,13822.8726,2023-01-02 01:59:59.999,16525026.990649,15510,6183.736,7391564.114635,0,-0.002503839220137527,1.2077358864874377,-0.00431544395754524,0.32294155698917826,-0.005193940402863362,2.12468552800868,-0.0013786649509945903,3.987661746890594,1195.16,1195.16,1196.66,1196.4441820592149,1199.5079999999998,1198.3644354789924,1199.966,1198.8215673509553,1203.3212193280594,1197.8755,1192.4297806719408,42.29985273112317,0.0013395916851466113
26,2023-01-02 02:00:00,1195.15,1197.24,1194.46,1196.79,3160.0153,2023-01-02 02:59:59.999,3779406.950809,8228,1622.2515,1940260.351776,0,0.0013638341309949453,-0.7713922864340079,-0.001143419910529575,-0.4952945468325183,-0.005038034667664282,-0.0767173463605938,-0.00045935156263043897,-0.635425582328379,1196.79,1196.79,1195.975,1196.6747273530716,1198.2959999999998,1197.8396236526617,1199.9109999999998,1198.4521914689633,1203.2634374169108,1197.9745,1192.6855625830892,47.81691515494538,0.0013722600666826238
27,2023-01-02 03:00:00,1196.79,1203.53,1196.56,1201.94,8910.252,2023-01-02 03:59:59.999,10690986.971482,12033,4934.3438,5919574.967632,0,0.004303177666925784,1.8196863477211647,0.005672880618494469,-0.3553979510742217,0.0007576829887681047,1.7298140479365687,0.0010494053369756173,-0.14563097337840303,1201.94,1201.94,1199.365,1200.1849091176905,1198.478,1199.2064157684413,1200.037,1199.0863384746062,1203.6986199800745,1198.3184999999999,1192.9383800199253,60.62659461910356,0.001665899041050735
28,2023-01-02 04:00:00,1201.94,1202.95,1199.87,1201.85,6437.8861,2023-01-02 04:59:59.999,7731939.015661,11121,4012.4859,4818986.949133,0,-7.487894570457065e-05,-0.2774742959009465,0.004227976503814235,1.0372958637257228,0.0012579769065430568,-0.38385114966240896,0.0007744062885119973,0.22180540675728033,1201.85,1201.85,1201.895,1201.2949697058968,1198.78,1200.0876105122943,1200.13,1199.5888223883142,1203.95105024719,1198.697,1193.4429497528097,60.347796464968766,0.0016536852701048638
29,2023-01-02 05:00:00,1201.85,1202.99,1200.15,1202.35,4675.795,2023-01-02 05:59:59.999,5618912.096306,9880,2854.159,3429760.612662,0,0.00041602529433792945,-0.2737064733096163,0.00034111519709800753,-0.47523425824544585,0.0034970287774587216,-0.2532000606474135,0.0004742964602506561,-0.29693959091547784,1202.35,1202.35,1202.1,1201.998323235299,1199.618,1200.8417403415297,1200.187,1200.0908546813478,1204.370680201443,1198.9905,1193.6103197985572,61.409538162682324,0.001614763389842138
30,2023-01-02 06:00:00,1202.36,1204.19,1200.55,1201.58,5203.7224,2023-01-02 06:59:59.999,6256143.761593,10193,2592.1621,3116480.326353,0,-0.0006404125254709792,0.11290644692506824,-0.00022465365894241973,-0.19170325178632786,0.0053716657183973116,-0.6235426202220804,0.00014982520392869958,0.17631092650413294,1201.58,1201.58,1201.965,1201.719441078433,1200.902,1201.0878268943532,1200.205,1200.361608375648,1204.6351778440176,1199.2125,1193.7898221559826,58.798442556964986,0.0016248556682812304
31,2023-01-02 07:00:00,1201.58,1220.0,1201.39,1213.09,49691.1187,2023-01-02 07:59:59.999,60263985.398012,41385,28923.887,35078524.266864,0,0.009579054245243857,8.549148644055263,0.008932507173452064,9.627309088614878,0.013619766207939588,14.724961426610815,0.008513114685954282,13.518584114338536,1213.09,1213.09,1207.335,1209.2998136928109,1204.1619999999998,1205.0885512629022,1201.2289999999998,1202.6758613982574,1208.016590236732,1200.05,1192.0834097632678,75.54038492668087,0.0026398239366374576
32,2023-01-02 08:00:00,1213.08,1217.27,1212.74,1215.94,11518.089,2023-01-02 08:59:59.999,13994580.785692,19315,6403.6595,7779876.502129,0,0.0023493722642178305,-0.7682062851203227,0.011950931273822851,1.2134326381438028,0.01164783599846908,0.29267825421772575,0.012414344354429119,2.5287712578256665,1215.94,1215.94,1214.5149999999999,1213.7266045642702,1206.962,1208.705700841935,1202.7199999999998,1205.0875229622106,1211.4184075259561,1200.9885,1190.5585924740437,77.93159322870596,0.002665493625008993
33,2023-01-02 09:00:00,1215.93,1219.32,1215.74,1217.18,13720.0055,2023-01-02 09:59:59.999,16706460.883697,15732,5901.421,7185865.296867,0,0.0010197871605506226,0.19117029743388847,0.0033715552844391095,-0.7238942117034688,0.012755335524400113,1.1311351718384706,0.01402935834846808,0.313096486042278,1217.18,1217.18,1216.56,1216.0288681880902,1210.0279999999998,1211.5304672279567,1204.404,1207.2861551508995,1214.3257376416768,1202.0845000000002,1189.8432623583235,78.8981978071337,0.002606239633068671
34,2023-01-02 10:00:00,1217.18,1224.29,1216.61,1217.75,33278.1366,2023-01-02 10:59:59.999,40593646.561157,24191,11693.0082,14262164.366965,0,0.0004682955684449652,1.4255191880207336,0.0014885602908036866,1.8892064126262609,0.012808250509419139,6.117107700401749,0.016350070107498116,4.315055599025853,1217.75,1217.75,1217.4650000000001,1217.1762893960301,1213.108,1213.6036448186378,1206.3629999999998,1209.1886723961904,1216.7384389151048,1203.247,1189.7555610848954,79.3460339899149,0.0025833138824867805
35,2023-01-02 11:00:00,1217.74,1217.88,1214.29,1217.35,7768.1952,2023-01-02 11:59:59.999,9447739.707832,12617,3449.1448,4194664.86128,0,-0.0003284746458633858,-0.7665676028266558,0.00013966709936075183,-0.4338052415503769,0.013124386224804052,0.49281506638401784,0.018566551758760097,-0.4380187516160715,1217.35,1217.35,1217.55,1217.2920964653433,1216.262,1214.852429879092,1208.5819999999999,1210.6725501423375,1218.7409255890807,1204.274,1189.807074410919,78.09351470895095,0.002588297583908209
36,2023-01-02 12:00:00,1217.35,1218.67,1216.61,1216.62,5725.8258,2023-01-02 12:59:59.999,6971787.305567,11613,2849.3975,3469574.364892,0,-0.0005996632028586468,-0.2629142738328718,-0.0009279408745638262,-0.8279403120185521,0.0029099242430488115,-0.8847716463264088,0.016569322938861486,0.8119614167690896,1216.62,1216.62,1216.985,1216.8440321551145,1216.968,1215.4416199193947,1210.565,1211.7539046619124,1220.2860372142015,1205.2379999999998,1190.1899627857981,75.74359689693779,0.002607447943436655
37,2023-01-02 13:00:00,1216.62,1217.01,1214.04,1214.95,6919.2938,2023-01-02 13:59:59.999,8410152.758808,11662,3249.1166,3949404.675177,0,-0.001372655389521693,0.20843596045132928,-0.0019714954614530322,-0.10927910256426099,-0.0008141849104397192,-0.3992672048288566,0.010824167595720136,-0.2234457790868316,1214.95,1214.95,1215.7849999999999,1215.581344051705,1216.77,1215.2777466129298,1211.866,1212.335012905201,1221.414895843087,1205.9515,1190.4881041569129,70.51598234062892,0.0026065870571358595
38,2023-01-02 14:00:00,1214.95,1218.39,1214.92,1216.78,9916.8659,2023-01-02 14:59:59.999,12063732.515522,14018,4770.7464,5803091.624089,0,0.0015062348244783141,0.4332193698726885,0.00013151189360693927,0.7319538257695513,-0.0003286284690843244,-0.2771966527272892,0.01242251528892968,0.5403916356954499,1216.78,1216.78,1215.865,1216.380448017235,1216.69,1215.7784977419533,1213.359,1213.1431923769826,1222.7128843578491,1206.7445,1190.776115642151,72.7365203894104,0.0026125486942587726
